"Total Time","Mean Performance","Wallclock Time","Incumbent ID","Automatic Configurator Time","Configuration..."
2905.1363, 89.66975726190476, 4972.2010, 30, 0.4800, N='90', eps='1', freq='50', iter='5', rad='2', step='8.0'
2909.1487, 87.67749274418605, 5000.9254, 30, 0.4900, N='90', eps='1', freq='50', iter='5', rad='2', step='8.0'
2913.6722, 85.78762931818181, 5022.8897, 30, 0.4900, N='90', eps='1', freq='50', iter='5', rad='2', step='8.0'
2916.7323, 83.94901933333334, 5044.7804, 30, 0.5000, N='90', eps='1', freq='50', iter='5', rad='2', step='8.0'
2918.6096, 82.16463386956522, 5064.8824, 30, 0.5100, N='90', eps='1', freq='50', iter='5', rad='2', step='8.0'
2921.8014, 80.48436046808511, 5086.4919, 30, 0.5100, N='90', eps='1', freq='50', iter='5', rad='2', step='8.0'
2927.5699, 78.92757214583334, 5110.9600, 30, 0.5200, N='90', eps='1', freq='50', iter='5', rad='2', step='8.0'
2927.5699, 78.92757214583334, 5110.9623, 30, 0.5200, N='90', eps='1', freq='50', iter='5', rad='2', step='8.0'
12077.9074, 77.35933438775511, 21996.6882, 30, 1.8600, N='90', eps='1', freq='50', iter='5', rad='2', step='8.0'
12137.9174, 87.81234970000001, 22087.8122, 30, 1.8700, N='90', eps='1', freq='50', iter='5', rad='2', step='8.0'
12140.6809, 86.1447261372549, 22108.8902, 30, 1.8700, N='90', eps='1', freq='50', iter='5', rad='2', step='8.0'
12143.5576, 84.54341786538463, 22130.5601, 30, 1.8700, N='90', eps='1', freq='50', iter='5', rad='2', step='8.0'
12146.9979, 83.0127924528302, 22152.7678, 30, 1.8900, N='90', eps='1', freq='50', iter='5', rad='2', step='8.0'
12149.8277, 81.52792148148148, 22173.8090, 30, 1.8900, N='90', eps='1', freq='50', iter='5', rad='2', step='8.0'
12154.7615, 80.13530074545454, 22196.8290, 30, 1.8900, N='90', eps='1', freq='50', iter='5', rad='2', step='8.0'
12157.5561, 78.75421691071429, 22218.2261, 30, 1.8900, N='90', eps='1', freq='50', iter='5', rad='2', step='8.0'
12159.4458, 77.40554263157897, 22238.3401, 30, 1.9000, N='90', eps='1', freq='50', iter='5', rad='2', step='8.0'
12162.5418, 76.12434243103449, 22259.4650, 30, 1.9000, N='90', eps='1', freq='50', iter='5', rad='2', step='8.0'
12168.9849, 74.94313527118645, 22284.1617, 30, 1.9100, N='90', eps='1', freq='50', iter='5', rad='2', step='8.0'
12171.7072, 73.73912171666667, 22304.9967, 30, 1.9300, N='90', eps='1', freq='50', iter='5', rad='2', step='8.0'
12231.7072, 82.3665148032787, 22382.0412, 30, 1.9300, N='90', eps='1', freq='50', iter='5', rad='2', step='8.0'
12234.9091, 81.08950456451615, 22413.7914, 30, 1.9400, N='90', eps='1', freq='50', iter='5', rad='2', step='8.0'
