Run 3
0, 100000000, 0, 1, 0, c1='2.05', c2='2.05', iter='5', rad='1', step='1.0'
34.986538, 400000001.0, 1, 1, 60.0, c1='2.05', c2='2.05', iter='5', rad='1', step='1.0'
367.313758, 233310.0, 1, 1, 60.0, c1='2.15', c2='2.075', iter='5', rad='2', step='1.0'
368.783404, 2795.0, 1, 1, 60.0, c1='2.025', c2='2.15', iter='10', rad='3', step='0.5'
370.151467, 2325.0, 1, 1, 60.0, c1='2.05', c2='2.15', iter='10', rad='3', step='0.5'
373.64137700000003, 13187.5, 2, 1, 60.0, c1='2.05', c2='2.15', iter='10', rad='3', step='0.5'
1027.616327, 133350458.66666667, 3, 1, 60.0, c1='2.05', c2='2.15', iter='10', rad='3', step='0.5'
1028.973352, 100013287.75, 4, 1, 60.0, c1='2.05', c2='2.15', iter='10', rad='3', step='0.5'
1030.45337, 80011174.2, 5, 1, 60.0, c1='2.05', c2='2.15', iter='10', rad='3', step='0.5'
1075.504121, 133347645.33333333, 6, 1, 60.0, c1='2.05', c2='2.15', iter='10', rad='3', step='0.5'
1077.441308, 114298539.57142857, 7, 1, 60.0, c1='2.05', c2='2.15', iter='10', rad='3', step='0.5'
1078.9117509999999, 100011577.75, 8, 1, 60.0, c1='2.05', c2='2.15', iter='10', rad='3', step='0.5'
1080.320812, 88899414.66666667, 9, 1, 60.0, c1='2.05', c2='2.15', iter='10', rad='3', step='0.5'
1123.405969, 120011473.3, 10, 1, 60.0, c1='2.05', c2='2.15', iter='10', rad='3', step='0.5'
1183.405969, 109127788.00008355, 11, 1, 60.0, c1='2.05', c2='2.15', iter='10', rad='3', step='0.5'
1184.903452, 100034058.58340992, 12, 1, 60.0, c1='2.05', c2='2.15', iter='10', rad='3', step='0.5'
1226.181951, 123108746.46160915, 13, 1, 60.0, c1='2.05', c2='2.15', iter='10', rad='3', step='0.5'
1270.916831, 142887407.50006565, 14, 1, 60.0, c1='2.05', c2='2.15', iter='10', rad='3', step='0.5'
1272.348443, 133361734.66672795, 15, 1, 60.0, c1='2.05', c2='2.15', iter='10', rad='3', step='0.5'
1312.906207, 150026626.31255746, 16, 1, 60.0, c1='2.05', c2='2.15', iter='10', rad='3', step='0.5'
1314.247734, 141201623.58828938, 17, 1, 60.0, c1='2.05', c2='2.15', iter='10', rad='3', step='0.5'
1315.547018, 133357161.16671774, 18, 1, 60.0, c1='2.05', c2='2.15', iter='10', rad='3', step='0.5'
1357.302369, 147391521.15794313, 19, 1, 60.0, c1='2.05', c2='2.15', iter='10', rad='3', step='0.5'
1358.811544, 140022080.60004598, 20, 1, 60.0, c1='2.05', c2='2.15', iter='10', rad='3', step='0.5'
1399.151067, 152402695.85718665, 21, 1, 60.0, c1='2.05', c2='2.15', iter='10', rad='3', step='0.5'
1399.151067, 152402695.85718665, 21, 1, 60.0, c1='2.05', c2='2.15', iter='10', rad='3', step='0.5'
2638.1094769999995, 76211734.71428572, 21, 2, 60.0, c1='2', c2='2.1', iter='10', rad='3', step='0.5'
2677.5683079999994, 90930746.81818181, 22, 2, 60.0, c1='2', c2='2.1', iter='10', rad='3', step='0.5'
2720.1813109999994, 104368757.86956522, 23, 2, 60.0, c1='2', c2='2.1', iter='10', rad='3', step='0.5'
2780.1813109999994, 100032092.75003797, 24, 2, 60.0, c1='2', c2='2.1', iter='10', rad='3', step='0.5'
2781.6028779999992, 96030954.44003645, 25, 2, 60.0, c1='2', c2='2.1', iter='10', rad='3', step='0.5'
2783.1637599999995, 92337616.38465044, 26, 2, 60.0, c1='2', c2='2.1', iter='10', rad='3', step='0.5'
2793.8973589999996, 88919467.81484856, 27, 2, 60.0, c1='2', c2='2.1', iter='10', rad='3', step='0.5'
2793.8973589999996, 88919467.81484856, 27, 2, 60.0, c1='2', c2='2.1', iter='10', rad='3', step='0.5'
4050.7443040000007, 59270953.2962963, 27, 3, 60.0, c1='2', c2='2.15', iter='5', rad='2', step='0.5'
4050.7443040000007, 59270953.2962963, 27, 3, 60.0, c1='2', c2='2.15', iter='5', rad='2', step='0.5'
5661.057310999999, 57154315.678571425, 28, 4, 60.0, c1='2', c2='2.15', iter='5', rad='2', step='0.5'
5698.951828999999, 55183646.68965517, 29, 4, 60.0, c1='2', c2='2.15', iter='5', rad='2', step='0.5'
5701.9794139999985, 53344252.13333333, 30, 4, 60.0, c1='2', c2='2.15', iter='5', rad='2', step='0.5'
5745.591586999999, 64527179.51612903, 31, 4, 60.0, c1='2', c2='2.15', iter='5', rad='2', step='0.5'
5782.633484999999, 62510962.03125, 32, 4, 60.0, c1='2', c2='2.15', iter='5', rad='2', step='0.5'
5786.045757999999, 60616846.515151516, 33, 4, 60.0, c1='2', c2='2.15', iter='5', rad='2', step='0.5'
5794.116543999999, 58834118.38235294, 34, 4, 60.0, c1='2', c2='2.15', iter='5', rad='2', step='0.5'
5837.582219999998, 68581857.88571429, 35, 4, 60.0, c1='2', c2='2.15', iter='5', rad='2', step='0.5'
5873.059459999999, 66676840.722222224, 36, 4, 60.0, c1='2', c2='2.15', iter='5', rad='2', step='0.5'
5934.405345999999, 64882877.86488957, 37, 4, 60.0, c1='2', c2='2.15', iter='5', rad='2', step='0.5'
5950.125299999999, 63177944.50002406, 38, 4, 60.0, c1='2', c2='2.15', iter='5', rad='2', step='0.5'
5954.002703999999, 61558061.820536256, 39, 4, 60.0, c1='2', c2='2.15', iter='5', rad='2', step='0.5'
5979.126529999999, 60024670.77502285, 40, 4, 60.0, c1='2', c2='2.15', iter='5', rad='2', step='0.5'
6040.770126999999, 58567801.609800726, 41, 4, 60.0, c1='2', c2='2.15', iter='5', rad='2', step='0.5'
10804.950212999996, 58567801.609800726, 41, 9, 60.0, c1='2', c2='2.15', iter='5', rad='2', step='0.5'
