Run 1
0, 100000000, 0, 1, 0, c1='2.05', c2='2.05', iter='5', rad='1', step='1.0'
2.076869, 2.076869, 1, 1, 60.0, c1='2.05', c2='2.05', iter='5', rad='1', step='1.0'
1110.0413350000003, 1.8624424999999998, 2, 1, 60.0, c1='2.05', c2='2.05', iter='5', rad='1', step='1.0'
1113.3812250000003, 2.3549249999999997, 3, 1, 60.0, c1='2.05', c2='2.05', iter='5', rad='1', step='1.0'
1115.2834760000003, 2.2417564999999997, 4, 1, 60.0, c1='2.05', c2='2.05', iter='5', rad='1', step='1.0'
1122.6492990000004, 3.2665698, 5, 1, 60.0, c1='2.05', c2='2.05', iter='5', rad='1', step='1.0'
1125.4689770000005, 3.1920878333333333, 6, 1, 60.0, c1='2.05', c2='2.05', iter='5', rad='1', step='1.0'
1185.4689770000005, 88.45180385714286, 7, 1, 60.0, c1='2.05', c2='2.05', iter='5', rad='1', step='1.0'
1188.3112320000005, 77.75061025000001, 8, 1, 60.0, c1='2.05', c2='2.05', iter='5', rad='1', step='1.0'
1191.5451110000004, 69.47097344444445, 9, 1, 60.0, c1='2.05', c2='2.05', iter='5', rad='1', step='1.0'
1193.8708120000003, 62.756446200000006, 10, 1, 60.0, c1='2.05', c2='2.05', iter='5', rad='1', step='1.0'
1195.6599260000003, 57.21396145454546, 11, 1, 60.0, c1='2.05', c2='2.05', iter='5', rad='1', step='1.0'
1197.2826070000003, 52.58135475, 12, 1, 60.0, c1='2.05', c2='2.05', iter='5', rad='1', step='1.0'
1203.3978800000002, 49.00704076923077, 13, 1, 60.0, c1='2.05', c2='2.05', iter='5', rad='1', step='1.0'
1205.2667520000002, 45.64002871428572, 14, 1, 60.0, c1='2.05', c2='2.05', iter='5', rad='1', step='1.0'
1265.2667520000002, 82.59803346666668, 15, 1, 60.0, c1='2.05', c2='2.05', iter='5', rad='1', step='1.0'
1292.7209290000003, 79.15154243750001, 16, 1, 60.0, c1='2.05', c2='2.05', iter='5', rad='1', step='1.0'
1294.4486380000003, 74.59719929411766, 17, 1, 60.0, c1='2.05', c2='2.05', iter='5', rad='1', step='1.0'
1299.2875440000003, 70.72173855555556, 18, 1, 60.0, c1='2.05', c2='2.05', iter='5', rad='1', step='1.0'
1311.0727910000003, 67.61981794736843, 19, 1, 60.0, c1='2.05', c2='2.05', iter='5', rad='1', step='1.0'
1312.8604740000003, 64.32821120000001, 20, 1, 60.0, c1='2.05', c2='2.05', iter='5', rad='1', step='1.0'
1314.3636060000003, 61.33654076190477, 21, 1, 60.0, c1='2.05', c2='2.05', iter='5', rad='1', step='1.0'
1316.0084990000003, 58.623284045454554, 22, 1, 60.0, c1='2.05', c2='2.05', iter='5', rad='1', step='1.0'
1376.0084990000003, 82.16140647826089, 23, 1, 60.0, c1='2.05', c2='2.05', iter='5', rad='1', step='1.0'
1436.0084990000003, 103.73843537500001, 24, 1, 60.0, c1='2.05', c2='2.05', iter='5', rad='1', step='1.0'
1439.3519760000001, 99.72263704000001, 25, 1, 60.0, c1='2.05', c2='2.05', iter='5', rad='1', step='1.0'
1499.3519760000001, 118.96407792307694, 26, 1, 60.0, c1='2.05', c2='2.05', iter='5', rad='1', step='1.0'
1499.3519760000001, 118.96407792307694, 26, 1, 60.0, c1='2.05', c2='2.05', iter='5', rad='1', step='1.0'
2512.8787700000003, 114.61273562962964, 27, 2, 60.0, c1='2.05', c2='2.05', iter='5', rad='1', step='1.0'
2915.6029580000004, 110.57657025000002, 28, 2, 60.0, c1='2.05', c2='2.05', iter='5', rad='1', step='1.0'
