Run 2
0, 100000000, 0, 1, 0, c1='2.05', c2='2.05', iter='5', rad='1', step='1.0'
5.464582, 22975.0, 1, 1, 60.0, c1='2.05', c2='2.05', iter='5', rad='1', step='1.0'
25.408925000000004, 3500.0, 1, 1, 60.0, c1='2.1', c2='2', iter='10', rad='3', step='1.0'
303.38959700000004, 1635.0, 1, 1, 60.0, c1='2.1', c2='2.15', iter='10', rad='3', step='1.0'
307.40589800000004, 15815.0, 2, 1, 60.0, c1='2.1', c2='2.15', iter='10', rad='3', step='1.0'
348.88898700000004, 133348877.0, 3, 1, 60.0, c1='2.1', c2='2.15', iter='10', rad='3', step='1.0'
350.25027700000004, 100012227.75, 4, 1, 60.0, c1='2.1', c2='2.15', iter='10', rad='3', step='1.0'
396.080056, 160009782.4, 5, 1, 60.0, c1='2.1', c2='2.15', iter='10', rad='3', step='1.0'
506.15165500000006, 80010517.2, 5, 1, 60.0, c1='2.15', c2='2.15', iter='10', rad='3', step='1.0'
507.43907100000007, 66675627.666666664, 6, 1, 60.0, c1='2.15', c2='2.15', iter='10', rad='3', step='1.0'
549.2251890000001, 114296252.42857143, 7, 1, 60.0, c1='2.15', c2='2.15', iter='10', rad='3', step='1.0'
590.1431970000001, 150009846.0, 8, 1, 60.0, c1='2.15', c2='2.15', iter='10', rad='3', step='1.0'
1427.772968, 133342207.0, 9, 1, 60.0, c1='2.15', c2='2.15', iter='10', rad='3', step='1.0'
1466.844363, 160008986.4, 10, 1, 60.0, c1='2.15', c2='2.15', iter='10', rad='3', step='1.0'
1468.293598, 145462995.8181818, 11, 1, 60.0, c1='2.15', c2='2.15', iter='10', rad='3', step='1.0'
1510.230352, 166676912.91666666, 12, 1, 60.0, c1='2.15', c2='2.15', iter='10', rad='3', step='1.0'
1511.807754, 153855713.84615386, 13, 1, 60.0, c1='2.15', c2='2.15', iter='10', rad='3', step='1.0'
1554.6470259999999, 171437805.7857143, 14, 1, 60.0, c1='2.15', c2='2.15', iter='10', rad='3', step='1.0'
1556.1077019999998, 160008806.4, 15, 1, 60.0, c1='2.15', c2='2.15', iter='10', rad='3', step='1.0'
1561.0873789999998, 150009470.375, 16, 1, 60.0, c1='2.15', c2='2.15', iter='10', rad='3', step='1.0'
1603.8202089999997, 164715089.82352942, 17, 1, 60.0, c1='2.15', c2='2.15', iter='10', rad='3', step='1.0'
1613.8752069999998, 155566788.16666666, 18, 1, 60.0, c1='2.15', c2='2.15', iter='10', rad='3', step='1.0'
1615.2035939999998, 147379167.47368422, 19, 1, 60.0, c1='2.15', c2='2.15', iter='10', rad='3', step='1.0'
1653.2890389999998, 160011209.15, 20, 1, 60.0, c1='2.15', c2='2.15', iter='10', rad='3', step='1.0'
1654.5738969999998, 152391692.52380952, 21, 1, 60.0, c1='2.15', c2='2.15', iter='10', rad='3', step='1.0'
