Run 2
0, 100000000, 0, 1, 0, N='30', eps='0.1', freq='10', iter='5', rad='1', step='1.0'
1.767377, 1.767377, 1, 1, 60.0, N='30', eps='0.1', freq='10', iter='5', rad='1', step='1.0'
378.0993860000001, 1.462078, 1, 1, 60.0, N='10', eps='0.1', freq='10', iter='5', rad='1', step='1.0'
379.7159950000001, 1.5393435, 2, 1, 60.0, N='10', eps='0.1', freq='10', iter='5', rad='1', step='1.0'
913.05464, 1.4150715, 2, 1, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
914.431441, 1.4023146666666666, 3, 1, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
915.935932, 1.42785875, 4, 1, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
917.176387, 1.390378, 5, 1, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
918.542192, 1.3862825, 6, 1, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
978.542192, 86.90397071428572, 7, 1, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
1038.5421920000001, 151.04098687500002, 8, 1, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
1039.8765, 134.40691144444446, 9, 1, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
1041.614654, 121.1400357, 10, 1, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
1044.6366679999999, 110.40203372727272, 11, 1, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
1104.6366679999999, 151.20270591666667, 12, 1, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
1106.044543, 139.68002661538463, 13, 1, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
1120.052917, 130.70348, 14, 1, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
1121.4696, 122.0843602, 15, 1, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
1125.486377, 114.70513625000001, 16, 1, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
1185.486377, 143.25248705882353, 17, 1, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
1245.486377, 168.62786087949448, 18, 1, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
1246.983338, 159.83149772794212, 19, 1, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
2067.150308, 151.932771341545, 20, 1, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
2068.507051, 144.7624842776619, 21, 1, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
2128.507051, 165.45510317413184, 22, 1, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
2157.50894, 159.52235473177828, 23, 1, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
2217.50894, 177.87559411795417, 24, 1, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
2277.50894, 194.760574353236, 25, 1, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
2337.50894, 210.34670995503464, 26, 1, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
2397.50894, 224.77831699373706, 27, 1, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
2398.873568, 216.79925667253218, 28, 1, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
2402.008219, 209.43151164934142, 29, 1, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
2462.008219, 222.45079792769673, 30, 1, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
2522.008219, 234.63013025260975, 31, 1, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
2523.9334529999996, 227.3581022447157, 32, 1, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
2526.506004, 220.5464188736637, 33, 1, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
2528.005666, 214.1038672009089, 34, 1, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
2529.780842, 208.03733316659722, 35, 1, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
2536.074293, 202.43333643974728, 36, 1, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
2537.55991, 197.0023169954298, 37, 1, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
2545.602195, 192.02968457449745, 38, 1, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
2581.469983, 188.02553338027954, 39, 1, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
2641.469983, 198.32514754577258, 40, 1, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
2644.854422, 193.5704961178269, 41, 1, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
2648.7831739999997, 189.0552164959739, 42, 1, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
2650.0396509999996, 184.6878039495559, 43, 1, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
2652.289837, 180.54149445070234, 44, 1, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
2712.289837, 189.86300109278451, 45, 1, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
2713.7476399999996, 185.7672359168544, 46, 1, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
2715.1194419999997, 181.84392881224045, 47, 1, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
2715.1194419999997, 181.84392881224045, 47, 1, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
3962.435537, 190.55572404531878, 48, 2, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
3987.4211609999998, 187.17674241174086, 49, 2, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
4047.4211609999998, 195.43340956350602, 50, 2, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
4049.0628319999996, 191.63357155245689, 51, 2, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
4109.062832, 199.48677402260194, 52, 2, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
4110.504051, 195.75006543726982, 53, 2, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
4170.504051, 203.23636237361666, 54, 2, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
4186.036516, 199.8235642395509, 55, 2, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
4246.036516, 206.9695738067018, 56, 2, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
4247.478798, 203.3638318451807, 57, 2, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
4248.912801, 199.88228307198793, 58, 2, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
4308.912801, 206.66394098602203, 59, 2, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
4311.71705, 203.26627945292165, 60, 2, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
4371.71705, 209.77027651107048, 61, 2, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
4373.390592000001, 206.41387756734355, 62, 2, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
4374.958164000001, 203.16234890754444, 63, 2, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
4434.958164000001, 209.36293876836405, 64, 2, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
4494.958164000001, 215.37274124885073, 65, 2, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
4496.405367, 212.13144521477724, 66, 2, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
4556.405367, 217.92067886828804, 67, 2, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
4601.279325000003, 214.73503789963672, 68, 2, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
4602.508010000003, 211.64074293007675, 69, 2, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
4662.508010000003, 217.18886409393568, 70, 2, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
4663.981126000003, 214.15061412078165, 71, 2, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
4665.610056000003, 211.1989240635486, 72, 2, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
4667.234140000003, 208.32803584349995, 73, 2, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
4668.542206000003, 205.53046868345265, 74, 2, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
4670.080428000003, 202.8105720610066, 75, 2, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
4730.080428000003, 208.03675006020387, 76, 2, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
4731.473711000003, 205.35306866981162, 77, 2, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
4791.473711000003, 210.41276307324864, 78, 2, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
4851.473711000003, 215.34437493308093, 79, 2, 60.0, N='10', eps='0.1', freq='10', iter='3', rad='1', step='1.0'
