Run 2
0, 100000000, 0, 1, 0, c1='2.05', c2='2.05', iter='5', rad='1', step='1.0'
2.367296, 2.367296, 1, 1, 60.0, c1='2.05', c2='2.05', iter='5', rad='1', step='1.0'
333.27978400000006, 1.747739, 1, 1, 60.0, c1='2.1', c2='2.05', iter='5', rad='1', step='1.0'
334.86969200000004, 1.6688235, 2, 1, 60.0, c1='2.1', c2='2.05', iter='5', rad='1', step='1.0'
336.72812600000003, 1.7320269999999998, 3, 1, 60.0, c1='2.1', c2='2.05', iter='5', rad='1', step='1.0'
338.34346700000003, 1.7028554999999999, 4, 1, 60.0, c1='2.1', c2='2.05', iter='5', rad='1', step='1.0'
1089.6170529999997, 1.778727, 5, 1, 60.0, c1='2.1', c2='2.05', iter='5', rad='1', step='1.0'
1091.0672219999997, 1.7239673333333334, 6, 1, 60.0, c1='2.1', c2='2.05', iter='5', rad='1', step='1.0'
1151.0672219999997, 87.19341485714287, 7, 1, 60.0, c1='2.1', c2='2.05', iter='5', rad='1', step='1.0'
1181.3561239999997, 80.08035075000001, 8, 1, 60.0, c1='2.1', c2='2.05', iter='5', rad='1', step='1.0'
1183.0347269999997, 71.36904544444445, 9, 1, 60.0, c1='2.1', c2='2.05', iter='5', rad='1', step='1.0'
1186.3415359999997, 64.56282180000001, 10, 1, 60.0, c1='2.1', c2='2.05', iter='5', rad='1', step='1.0'
1188.4307149999997, 58.883399727272725, 11, 1, 60.0, c1='2.1', c2='2.05', iter='5', rad='1', step='1.0'
1248.4307149999997, 103.97729141666667, 12, 1, 60.0, c1='2.1', c2='2.05', iter='5', rad='1', step='1.0'
1249.9358569999997, 96.0948183846154, 13, 1, 60.0, c1='2.1', c2='2.05', iter='5', rad='1', step='1.0'
1263.6239249999996, 90.20862192857143, 14, 1, 60.0, c1='2.1', c2='2.05', iter='5', rad='1', step='1.0'
1265.2200249999996, 84.30112046666666, 15, 1, 60.0, c1='2.1', c2='2.05', iter='5', rad='1', step='1.0'
1270.7106559999995, 79.37546487499999, 16, 1, 60.0, c1='2.1', c2='2.05', iter='5', rad='1', step='1.0'
1330.7106559999995, 110.00103164705882, 17, 1, 60.0, c1='2.1', c2='2.05', iter='5', rad='1', step='1.0'
1354.8745949999995, 105.23230427777779, 18, 1, 60.0, c1='2.1', c2='2.05', iter='5', rad='1', step='1.0'
1356.4138149999994, 99.77477352631578, 19, 1, 60.0, c1='2.1', c2='2.05', iter='5', rad='1', step='1.0'
1361.7344039999994, 95.0520643, 20, 1, 60.0, c1='2.1', c2='2.05', iter='5', rad='1', step='1.0'
1363.2909259999994, 90.59989561904762, 21, 1, 60.0, c1='2.1', c2='2.05', iter='5', rad='1', step='1.0'
1368.8268549999993, 86.73335168181818, 22, 1, 60.0, c1='2.1', c2='2.05', iter='5', rad='1', step='1.0'
1428.8268549999993, 109.04929726086957, 23, 1, 60.0, c1='2.1', c2='2.05', iter='5', rad='1', step='1.0'
1431.0978929999994, 104.600203125, 24, 1, 60.0, c1='2.1', c2='2.05', iter='5', rad='1', step='1.0'
1432.7293409999995, 100.48145292, 25, 1, 60.0, c1='2.1', c2='2.05', iter='5', rad='1', step='1.0'
1434.6299499999996, 96.68988199999998, 26, 1, 60.0, c1='2.1', c2='2.05', iter='5', rad='1', step='1.0'
1435.8713509999995, 93.15475307407407, 27, 1, 60.0, c1='2.1', c2='2.05', iter='5', rad='1', step='1.0'
1437.4557219999995, 89.88438228571428, 28, 1, 60.0, c1='2.1', c2='2.05', iter='5', rad='1', step='1.0'
1437.4557219999995, 89.88438228571428, 28, 1, 60.0, c1='2.1', c2='2.05', iter='5', rad='1', step='1.0'
2893.8816860000006, 86.8792555862069, 29, 2, 60.0, c1='2.1', c2='2.05', iter='5', rad='1', step='1.0'
3013.8816860000006, 103.98361706666667, 30, 2, 60.0, c1='2.1', c2='2.05', iter='5', rad='1', step='1.0'
3075.4205470000006, 100.67894751612903, 31, 2, 60.0, c1='2.1', c2='2.05', iter='5', rad='1', step='1.0'
3078.9246520000006, 97.59566925, 32, 2, 60.0, c1='2.1', c2='2.05', iter='5', rad='1', step='1.0'
3082.4253820000004, 94.68988915151515, 33, 2, 60.0, c1='2.1', c2='2.05', iter='5', rad='1', step='1.0'
3085.636182, 91.95067247058823, 34, 2, 60.0, c1='2.1', c2='2.05', iter='5', rad='1', step='1.0'
3089.1044180000004, 89.37834185714284, 35, 2, 60.0, c1='2.1', c2='2.05', iter='5', rad='1', step='1.0'
3092.6501690000005, 86.9442061111111, 36, 2, 60.0, c1='2.1', c2='2.05', iter='5', rad='1', step='1.0'
3096.5129210000005, 84.63572316216217, 37, 2, 60.0, c1='2.1', c2='2.05', iter='5', rad='1', step='1.0'
3100.5787730000006, 82.47724005263159, 38, 2, 60.0, c1='2.1', c2='2.05', iter='5', rad='1', step='1.0'
4931.435893000003, 80.88074723076923, 39, 3, 60.0, c1='2.1', c2='2.05', iter='5', rad='1', step='1.0'
5051.435893000003, 93.85898105, 40, 3, 60.0, c1='2.1', c2='2.05', iter='5', rad='1', step='1.0'
7391.710850000002, 79.09179437499998, 40, 4, 60.0, c1='2.075', c2='2.125', iter='5', rad='2', step='1.0'
7394.911940000002, 77.24080158536584, 41, 4, 60.0, c1='2.075', c2='2.125', iter='5', rad='2', step='1.0'
7454.911940000002, 89.68745154761903, 42, 4, 60.0, c1='2.075', c2='2.125', iter='5', rad='2', step='1.0'
7456.505557000002, 87.63875772093023, 43, 4, 60.0, c1='2.075', c2='2.125', iter='5', rad='2', step='1.0'
7459.951786000002, 85.7252911590909, 44, 4, 60.0, c1='2.075', c2='2.125', iter='5', rad='2', step='1.0'
7459.951786000002, 85.7252911590909, 44, 4, 60.0, c1='2.075', c2='2.125', iter='5', rad='2', step='1.0'
16751.94890800002, 97.15382341011332, 45, 11, 60.0, c1='2.075', c2='2.125', iter='5', rad='2', step='1.0'
16813.396998000022, 95.07326398815434, 46, 11, 60.0, c1='2.075', c2='2.125', iter='5', rad='2', step='1.0'
16816.312867000022, 93.08077205223616, 47, 11, 60.0, c1='2.075', c2='2.125', iter='5', rad='2', step='1.0'
16877.753806000022, 103.64179971781458, 48, 11, 60.0, c1='2.075', c2='2.125', iter='5', rad='2', step='1.0'
16939.248894000022, 101.55717294806325, 49, 11, 60.0, c1='2.075', c2='2.125', iter='5', rad='2', step='1.0'
17015.26214300002, 99.85973924910199, 50, 11, 60.0, c1='2.075', c2='2.125', iter='5', rad='2', step='1.0'
17076.69042000002, 97.92971057755096, 51, 11, 60.0, c1='2.075', c2='2.125', iter='5', rad='2', step='1.0'
18010.348302000024, 97.92971057755096, 51, 13, 60.0, c1='2.075', c2='2.125', iter='5', rad='2', step='1.0'
