Run 4
0, 100000000, 0, 1, 0, c1='2.05', c2='2.05', iter='5', rad='1', step='1.0'
6806.181173999998, 81.7086596050613, 62, 5, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
6807.683849999998, 80.43554875418731, 63, 5, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
6809.229275999997, 79.20289058615313, 64, 5, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
6813.880728999998, 78.05594539252002, 65, 5, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
6813.880728999998, 78.05594539252002, 65, 5, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
15098.147260000009, 76.89646238657274, 66, 12, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
15099.605429000008, 75.77051770916121, 67, 12, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
15118.381468000009, 74.93236361049708, 68, 12, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
15119.94838100001, 73.86909621034494, 69, 12, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
15179.94838100001, 81.38539626448288, 70, 12, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
15182.16356400001, 80.27032283822255, 71, 12, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
15183.55145300001, 79.17473347935835, 72, 12, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
15187.74663200001, 78.14761629470961, 73, 12, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
15189.02252500001, 77.10880922315948, 74, 12, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
15190.892457000009, 76.10562419351734, 75, 12, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
15192.27858100001, 75.12247287518159, 76, 12, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
15329.591869000009, 74.79068753914027, 77, 12, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
15331.073933000009, 73.85083339120257, 78, 12, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
15391.073933000009, 80.51107727232659, 79, 12, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
15392.901908000009, 79.5275384939225, 80, 12, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
15399.414110000009, 78.62611458659013, 81, 12, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
15416.022647000009, 77.86980266480245, 82, 12, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
15417.456917000009, 76.94889263269638, 83, 12, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
15418.92158600001, 76.05027092278334, 84, 12, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
15478.92158600001, 82.2143865589859, 85, 12, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
15481.51832800001, 81.28859999434651, 86, 12, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
15482.82455300001, 80.36926235073334, 87, 12, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
15484.179224000009, 79.47136926720228, 88, 12, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
15544.179224000009, 85.32011905071687, 89, 12, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
15545.503309000009, 84.38682978348668, 90, 12, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
15605.503309000009, 90.05290967597584, 91, 12, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
15607.371268000008, 89.09437760341088, 92, 12, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
15608.780412000007, 88.15152562918064, 93, 12, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
15611.420588000008, 87.24183042035958, 94, 12, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
15612.862012000009, 86.3386682475137, 95, 12, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
15614.608164000008, 85.45749620326876, 96, 12, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
15616.274537000008, 84.59367019086393, 97, 12, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
15616.274537000008, 84.59367019086393, 97, 12, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
18045.789696000007, 84.59367019086393, 97, 14, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
